0       <= x <     630; y_0     =        82.11 +     -0.000611x; Linear Approximation
2970.0  <= x <  3000.0; y_99    =     -1514.00 +      0.533333x; Piecewise Interpolation
3000.0  <= x <  3030.0; y_100   =      1786.00 +     -0.566667x; Piecewise Interpolation
3030.0  <= x <  3060.0; y_101   =      -941.00 +      0.333333x; Piecewise Interpolation
3060.0  <= x <  3090.0; y_102   =       997.00 +     -0.300000x; Piecewise Interpolation
3090.0  <= x <  3120.0; y_103   =     -2093.00 +      0.700000x; Piecewise Interpolation
3120.0  <= x <  3150.0; y_104   =       923.00 +     -0.266667x; Piecewise Interpolation
3150.0  <= x <  3180.0; y_105   =      1448.00 +     -0.433333x; Piecewise Interpolation
3180.0  <= x <  3210.0; y_106   =       -36.00 +      0.033333x; Piecewise Interpolation
3210.0  <= x <  3240.0; y_107   =       927.00 +     -0.266667x; Piecewise Interpolation
3240.0  <= x <  3270.0; y_108   =      -909.00 +      0.300000x; Piecewise Interpolation
3270.0  <= x <  3300.0; y_109   =      -909.00 +      0.300000x; Piecewise Interpolation
3300.0  <= x <  3330.0; y_110   =      -799.00 +      0.266667x; Piecewise Interpolation
3330.0  <= x <  3360.0; y_111   =      2309.00 +     -0.666667x; Piecewise Interpolation
3360.0  <= x <  3390.0; y_112   =     -1835.00 +      0.566667x; Piecewise Interpolation
3390.0  <= x <  3420.0; y_113   =      -140.00 +      0.066667x; Piecewise Interpolation
3420.0  <= x <  3450.0; y_114   =       316.00 +     -0.066667x; Piecewise Interpolation
3450.0  <= x <  3480.0; y_115   =      2271.00 +     -0.633333x; Piecewise Interpolation
3480.0  <= x <  3510.0; y_116   =      -397.00 +      0.133333x; Piecewise Interpolation
3510.0  <= x <  3540.0; y_117   =       188.00 +     -0.033333x; Piecewise Interpolation
3540.0  <= x <  3570.0; y_118   =        70.00 +      0.000000x; Piecewise Interpolation
3570.0  <= x <  3600.0; y_119   =       427.00 +     -0.100000x; Piecewise Interpolation
3600.0  <= x <  3630.0; y_120   =      -413.00 +      0.133333x; Piecewise Interpolation
3630.0  <= x <  3660.0; y_121   =     -1381.00 +      0.400000x; Piecewise Interpolation
3660.0  <= x <  3690.0; y_122   =      1425.00 +     -0.366667x; Piecewise Interpolation
3690.0  <= x <  3720.0; y_123   =       441.00 +     -0.100000x; Piecewise Interpolation
3720.0  <= x <  3750.0; y_124   =       -55.00 +      0.033333x; Piecewise Interpolation
3750.0  <= x <  3780.0; y_125   =     -2180.00 +      0.600000x; Piecewise Interpolation
3780.0  <= x <  3810.0; y_126   =      2230.00 +     -0.566667x; Piecewise Interpolation
3810.0  <= x <  3840.0; y_127   =       325.00 +     -0.066667x; Piecewise Interpolation
3840.0  <= x <  3870.0; y_128   =      -315.00 +      0.100000x; Piecewise Interpolation
3870.0  <= x <  3900.0; y_129   =     -2379.00 +      0.633333x; Piecewise Interpolation
3900.0  <= x <  3930.0; y_130   =       611.00 +     -0.133333x; Piecewise Interpolation
3930.0  <= x <  3960.0; y_131   =      2707.00 +     -0.666667x; Piecewise Interpolation
3960.0  <= x <  3990.0; y_132   =      -461.00 +      0.133333x; Piecewise Interpolation
3990.0  <= x <  4020.0; y_133   =     -2190.00 +      0.566667x; Piecewise Interpolation
4020.0  <= x <  4050.0; y_134   =      1964.00 +     -0.466667x; Piecewise Interpolation
4050.0  <= x <  4080.0; y_135   =       479.00 +     -0.100000x; Piecewise Interpolation
4080.0  <= x <  4110.0; y_136   =       -65.00 +      0.033333x; Piecewise Interpolation
4110.0  <= x <  4140.0; y_137   =       483.00 +     -0.100000x; Piecewise Interpolation
4140.0  <= x <  4170.0; y_138   =     -1173.00 +      0.300000x; Piecewise Interpolation
4170.0  <= x <  4200.0; y_139   =     -1451.00 +      0.366667x; Piecewise Interpolation
4200.0  <= x <  4230.0; y_140   =      2749.00 +     -0.633333x; Piecewise Interpolation
4230.0  <= x <  4260.0; y_141   =       211.00 +     -0.033333x; Piecewise Interpolation
4260.0  <= x <  4290.0; y_142   =     -1635.00 +      0.400000x; Piecewise Interpolation
4290.0  <= x <  4320.0; y_143   =     -1206.00 +      0.300000x; Piecewise Interpolation
4320.0  <= x <  4350.0; y_144   =       810.00 +     -0.166667x; Piecewise Interpolation
4350.0  <= x <  4380.0; y_145   =      2260.00 +     -0.500000x; Piecewise Interpolation
4380.0  <= x <  4410.0; y_146   =      -806.00 +      0.200000x; Piecewise Interpolation
